Axiom,Reason,Depth,Width,Groups of Diagnosis,Size
SubClassOf(<http://www.bootstrep.eu/ontology/GRO#TBPDomain> <http://www.bootstrep.eu/ontology/GRO#Continuant>),"D,S",8,-1,-1,34
SubClassOf(<http://www.bootstrep.eu/ontology/GRO#TBPDomain> <http://www.bootstrep.eu/ontology/GRO#MolecularEntity>),"D,S",6,-1,-1,26
SubClassOf(<http://www.bootstrep.eu/ontology/GRO#Terminator> <http://www.bootstrep.eu/ontology/GRO#PhysicalContinuant>),"D,S",6,-1,-1,26
SubClassOf(<http://www.bootstrep.eu/ontology/GRO#Terminator> <http://www.bootstrep.eu/ontology/GRO#Continuant>),"D,S",7,-1,-1,30
SubClassOf(<http://www.bootstrep.eu/ontology/GRO#Terminator> <http://www.bootstrep.eu/ontology/GRO#MolecularEntity>),S,-1,-1,-1,22
SubClassOf(<http://www.bootstrep.eu/ontology/GRO#DNA> <http://www.bootstrep.eu/ontology/GRO#Continuant>),"D,S",6,-1,-1,24
SubClassOf(<http://www.bootstrep.eu/ontology/GRO#DNA> <http://www.bootstrep.eu/ontology/GRO#PhysicalContinuant>),S,-1,-1,-1,20
SubClassOf(<http://www.bootstrep.eu/ontology/GRO#C6ZincCluster> <http://www.bootstrep.eu/ontology/GRO#PhysicalContinuant>),"D,S",7,-1,-1,30
SubClassOf(<http://www.bootstrep.eu/ontology/GRO#C6ZincCluster> <http://www.bootstrep.eu/ontology/GRO#InformationBiopolymer>),S,-1,-1,-1,22
SubClassOf(<http://www.bootstrep.eu/ontology/GRO#C6ZincCluster> <http://www.bootstrep.eu/ontology/GRO#Continuant>),"D,S",8,-1,-1,34
SubClassOf(<http://www.bootstrep.eu/ontology/GRO#C6ZincCluster> <http://www.bootstrep.eu/ontology/GRO#MolecularEntity>),"D,S",6,-1,-1,26
SubClassOf(<http://www.bootstrep.eu/ontology/GRO#PairedBox> <http://www.bootstrep.eu/ontology/GRO#PhysicalContinuant>),"D,S",7,-1,-1,30
SubClassOf(<http://www.bootstrep.eu/ontology/GRO#PairedBox> <http://www.bootstrep.eu/ontology/GRO#InformationBiopolymer>),S,-1,-1,-1,22
SubClassOf(<http://www.bootstrep.eu/ontology/GRO#PairedBox> <http://www.bootstrep.eu/ontology/GRO#Continuant>),"D,S",8,-1,-1,34
SubClassOf(<http://www.bootstrep.eu/ontology/GRO#PairedBox> <http://www.bootstrep.eu/ontology/GRO#MolecularEntity>),"D,S",6,-1,-1,26
SubClassOf(<http://www.bootstrep.eu/ontology/GRO#Behavior> <http://www.bootstrep.eu/ontology/GRO#OrganismalProcess>),S,-1,-1,-1,24
SubClassOf(<http://www.bootstrep.eu/ontology/GRO#RHRTF> <http://www.bootstrep.eu/ontology/GRO#PhysicalContinuant>),"D,S",8,-1,-1,34
SubClassOf(<http://www.bootstrep.eu/ontology/GRO#RHRTF> <http://www.bootstrep.eu/ontology/GRO#InformationBiopolymer>),"D,S",6,-1,-1,26
SubClassOf(<http://www.bootstrep.eu/ontology/GRO#RHRTF> <http://www.bootstrep.eu/ontology/GRO#Continuant>),"D,S",9,-1,-1,38
